Topic,Count,Name,Representation,Representative_Docs
-1,151,-1_clarity_improvement_needs_fair,"['clarity', 'improvement', 'needs', 'fair', 'crashed', 'improved', 'enhanced', 'learning', 'valuable', 'rarely']","['Needs improvement', 'Needs improvement', 'Overall needs improvement']"
0,81,0_motivated_students_learners_the,"['motivated', 'students', 'learners', 'the', '', '', '', '', '', '']","['Motivated students', 'Motivated students', 'Motivated students']"
1,73,1_maintained_discipline_disciplined_order,"['maintained', 'discipline', 'disciplined', 'order', '', '', '', '', '', '']","['Maintained discipline', 'Maintained discipline', 'Maintained discipline']"
2,65,2_positive_neutral_overall_,"['positive', 'neutral', 'overall', '', '', '', '', '', '', '']","['Overall positive', 'Overall positive', 'Overall positive']"
3,52,3_participation_encouraged__,"['participation', 'encouraged', '', '', '', '', '', '', '', '']","['Encouraged participation', 'Encouraged participation', 'Encouraged participation']"
4,52,4_notes_provided_extra_helpful,"['notes', 'provided', 'extra', 'helpful', 'useful', '', '', '', '', '']","['Provided notes', 'Provided notes', 'Provided notes']"
5,49,5_style_interactive_good_,"['style', 'interactive', 'good', '', '', '', '', '', '', '']","['Interactive style', 'Interactive style', 'Interactive style']"
6,47,6_applications_explained_discussed_included,"['applications', 'explained', 'discussed', 'included', 'practical', 'relevant', 'world', 'real', 'missing', 'were']","['Applications explained', 'Applications explained', 'Applications explained']"
7,46,7_stable_system_was_,"['stable', 'system', 'was', '', '', '', '', '', '', '']","['System stable', 'System stable', 'System stable']"
8,45,8_questions_answered_most_all,"['questions', 'answered', 'most', 'all', 'well', '', '', '', '', '']","['Answered questions', 'Answered questions', 'Answered questions']"
9,45,9_shared_examples_occasionally_well,"['shared', 'examples', 'occasionally', 'well', 'useful', '', '', '', '', '']","['Shared examples', 'Shared examples', 'Shared examples']"
10,45,10_lectures_clear__,"['lectures', 'clear', '', '', '', '', '', '', '', '']","['Lectures clear', 'Lectures clear', 'Lectures clear']"
11,43,11_engaging_quizzes__,"['engaging', 'quizzes', '', '', '', '', '', '', '', '']","['Quizzes engaging', 'Quizzes engaging', 'Quizzes engaging']"
12,43,12_structured_course_unstructured_not,"['structured', 'course', 'unstructured', 'not', 'well', '', '', '', '', '']","['Course structured', 'Course structured', 'Course structured']"
13,42,13_course_structured_designed_was,"['course', 'structured', 'designed', 'was', 'content', 'detailed', 'well', 'comprehensive', 'communication', 'prepared']","['Course was structured well', 'Course was well structured', 'Course content was well structured']"
14,41,14_slow_rushed_laggy_delays,"['slow', 'rushed', 'laggy', 'delays', 'faced', 'lag', 'minor', 'sometimes', 'loading', 'occasional']","['Sometimes rushed', 'Sometimes rushed', 'Login sometimes slow']"
15,40,15_used_real_effectively_world,"['used', 'real', 'effectively', 'world', 'cases', 'practical', 'experiences', 'shared', 'examples', 'life']","['Used real examples', 'Used real examples', 'Real-world examples used']"
16,39,16_poor_overall_average_experience,"['poor', 'overall', 'average', 'experience', 'course', '', '', '', '', '']","['Overall poor', 'Overall poor', 'Overall poor']"
17,38,17_manageable_assignments_useful_meaningful,"['manageable', 'assignments', 'useful', 'meaningful', 'were', 'helpful', 'supportive', '', '', '']","['Assignments were useful', 'Assignments were useful', 'Assignments were useful']"
18,37,18_sometimes_fast_slow_,"['sometimes', 'fast', 'slow', '', '', '', '', '', '', '']","['Sometimes fast', 'Sometimes fast', 'Sometimes fast']"
19,36,19_studies_case_lacked_limited,"['studies', 'case', 'lacked', 'limited', 'cases', 'detailed', 'add', 'more', 'could', 'include']","['Lacked case studies', 'Lacked case studies', 'Lacked case studies']"
20,32,20_simple_navigation_intuitive_layout,"['simple', 'navigation', 'intuitive', 'layout', 'not', '', '', '', '', '']","['Navigation simple', 'Navigation simple', 'Navigation simple']"
21,31,21_smooth_login_process_was,"['smooth', 'login', 'process', 'was', 'reliable', '', '', '', '', '']","['Login smooth', 'Login smooth', 'Login smooth']"
22,31,22_satisfied_good_overall_design,"['satisfied', 'good', 'overall', 'design', 'respectful', 'very', 'managed', 'balance', 'not', 'designed']","['Overall satisfied', 'Overall satisfied', 'Overall satisfied']"
23,30,23_clearly_explained_instructor_,"['clearly', 'explained', 'instructor', '', '', '', '', '', '', '']","['Instructor explained clearly', 'Instructor explained clearly', 'Instructor explained clearly']"
24,30,24_feedback_provided_comments_timely,"['feedback', 'provided', 'comments', 'timely', 'detailed', 'gave', 'constructive', 'support', 'encouraging', 'guidance']","['Provided feedback', 'Provided feedback', 'Provided feedback']"
25,30,25_clear_assignments_were_,"['clear', 'assignments', 'were', '', '', '', '', '', '', '']","['Assignments clear', 'Assignments clear', 'Assignments clear']"
26,29,26_too_quick_fast_sometimes,"['too', 'quick', 'fast', 'sometimes', 'speed', 'improve', 'spoke', 'faced', 'could', 'slow']","['Sometimes too fast', 'Sometimes too fast', 'Sometimes too fast']"
27,28,27_experience_very_good_overall,"['experience', 'very', 'good', 'overall', 'average', 'fair', 'smooth', 'great', 'was', '']","['Overall good experience', 'Overall a good experience', 'Overall good experience']"
28,28,28_okay_resources_selected_were,"['okay', 'resources', 'selected', 'were', 'helpful', 'good', 'well', 'useful', '', '']","['Resources okay', 'Resources okay', 'Resources okay']"
29,28,29_quizzes_supported_designed_helped,"['quizzes', 'supported', 'designed', 'helped', 'made', 'revision', 'were', 'beneficial', 'practice', 'helpful']","['Quizzes supported learning', 'Quizzes were well designed', 'Quizzes were well designed']"
30,28,30_reliable_platform_was_stable,"['reliable', 'platform', 'was', 'stable', '', '', '', '', '', '']","['Platform was reliable', 'Platform was reliable', 'Platform was reliable']"
31,27,31_reliable_system_errors_reliably,"['reliable', 'system', 'errors', 'reliably', 'was', 'worked', 'failed', 'faced', 'rarely', 'sometimes']","['System was reliable', 'System was reliable', 'System was reliable']"
32,27,32_paced_pace_too_fast,"['paced', 'pace', 'too', 'fast', 'okay', 'sometimes', 'quick', '', '', '']","['Too fast paced', 'Too fast paced', 'Too fast paced']"
33,26,33_outdated_accessible_available_resources,"['outdated', 'accessible', 'available', 'resources', 'references', 'easily', 'provided', 'were', '', '']","['Resources outdated', 'Resources outdated', 'Resources outdated']"
34,26,34_understanding_helped_helpful_examples,"['understanding', 'helped', 'helpful', 'examples', 'gave', 'for', 'very', 'not', 'use', 'more']","['Examples helped understanding', 'Examples helped understanding', 'Examples helped understanding']"
35,25,35_excellent_course_good_guidance,"['excellent', 'course', 'good', 'guidance', 'overall', '', '', '', '', '']","['Excellent course', 'Excellent course', 'Excellent course']"
36,25,36_supportive_quizzes_personality_behavior,"['supportive', 'quizzes', 'personality', 'behavior', 'nature', 'encouraging', 'guidance', 'approach', 'teacher', 'were']","['Quizzes supportive', 'Quizzes supportive', 'Quizzes supportive']"
37,24,37_doubts_answered_cleared_all,"['doubts', 'answered', 'cleared', 'all', 'responded', 'in', 'effectively', 'clearly', 'to', 'few']","['Answered doubts', 'Answered doubts', 'Answered doubts']"
38,24,38_class_encouraged_engaged_students,"['class', 'encouraged', 'engaged', 'students', 'kept', 'managed', 'learning', 'interaction', 'supported', 'participation']","['Encouraged class', 'Encouraged class', 'Encouraged class']"
39,24,39_instructor_clear_teaching_was,"['instructor', 'clear', 'teaching', 'was', '', '', '', '', '', '']","['Instructor clear', 'Instructor clear', 'Instructor clear']"
40,24,40_assignments_good_repetitive_fine,"['assignments', 'good', 'repetitive', 'fine', 'were', 'fair', 'okay', 'tough', 'simple', '']","['Assignments good', 'Assignments good', 'Assignments good']"
41,24,41_study_available_material_accessible,"['study', 'available', 'material', 'accessible', 'materials', 'sufficient', 'was', 'were', 'helpful', 'resources']","['Study material was good', 'Study material was good', 'Study material was good']"
42,24,42_quick_access_was_,"['quick', 'access', 'was', '', '', '', '', '', '', '']","['Access quick', 'Access quick', 'Access quick']"
43,24,43_sufficient_resources_inadequate_strong,"['sufficient', 'resources', 'inadequate', 'strong', 'were', '', '', '', '', '']","['Resources sufficient', 'Resources sufficient', 'Resources sufficient']"
44,24,44_worked_platform_responsive_smoothly,"['worked', 'platform', 'responsive', 'smoothly', 'effective', 'performance', 'good', 'with', 'well', 'satisfied']","['Platform worked well', 'Platform worked well', 'Platform worked well']"
45,23,45_helpful_assignments__,"['helpful', 'assignments', '', '', '', '', '', '', '', '']","['Assignments helpful', 'Assignments helpful', 'Assignments helpful']"
46,23,46_organized_course_well_was,"['organized', 'course', 'well', 'was', '', '', '', '', '', '']","['Course organized', 'Course organized', 'Course organized']"
47,23,47_content_useful_valuable_thorough,"['content', 'useful', 'valuable', 'thorough', 'solid', 'learning', 'helpful', 'practical', 'relevant', 'was']","['Content useful', 'Content useful', 'Content useful']"
48,23,48_experience_positive_overall_,"['experience', 'positive', 'overall', '', '', '', '', '', '', '']","['Overall positive experience', 'Overall positive experience', 'Overall positive experience']"
49,22,49_smooth_platform_was_,"['smooth', 'platform', 'was', '', '', '', '', '', '', '']","['Platform smooth', 'Platform smooth', 'Platform smooth']"
50,22,50_parts_some_tough_lengthy,"['parts', 'some', 'tough', 'lengthy', 'topics', 'difficult', 'were', 'chapters', 'areas', 'tricky']","['Some parts were tough', 'Some parts were tough', 'Some parts were tough']"
51,22,51_teaching_interactive_class_style,"['teaching', 'interactive', 'class', 'style', 'learning', 'engaging', 'was', 'course', '', '']","['Interactive teaching', 'Interactive teaching', 'Interactive teaching']"
52,22,52_access_anytime_convenient_easy,"['access', 'anytime', 'convenient', 'easy', 'to', 'from', 'home', 'approach', 'content', 'simple']","['Access anytime', 'Easy access anytime', 'Easy access anytime']"
53,22,53_interface_friendly_user_simple,"['interface', 'friendly', 'user', 'simple', 'navigation', 'be', 'was', 'updates', 'can', 'could']","['User-friendly interface', 'Interface was user-friendly', 'Interface was user-friendly']"
54,22,54_clear_examples_gave_were,"['clear', 'examples', 'gave', 'were', '', '', '', '', '', '']","['Examples clear', 'Examples clear', 'Examples clear']"
55,21,55_complete_resources_were_,"['complete', 'resources', 'were', '', '', '', '', '', '', '']","['Resources complete', 'Resources complete', 'Resources complete']"
56,21,56_excellent_overall_helpful_,"['excellent', 'overall', 'helpful', '', '', '', '', '', '', '']","['Overall excellent', 'Overall excellent', 'Overall excellent']"
57,21,57_relevant_assignments_were_,"['relevant', 'assignments', 'were', '', '', '', '', '', '', '']","['Assignments were relevant', 'Assignments were relevant', 'Assignments were relevant']"
58,21,58_clear_applications_resources_were,"['clear', 'applications', 'resources', 'were', 'learning', '', '', '', '', '']","['Applications clear', 'Applications clear', 'Applications clear']"
59,21,59_navigation_easy_straightforward_good,"['navigation', 'easy', 'straightforward', 'good', '', '', '', '', '', '']","['Navigation easy', 'Navigation easy', 'Navigation easy']"
60,21,60_useful_quizzes_beneficial_meaningful,"['useful', 'quizzes', 'beneficial', 'meaningful', 'effective', 'okay', 'good', '', '', '']","['Quizzes useful', 'Quizzes useful', 'Quizzes useful']"
61,21,61_login_easy_seamless_process,"['login', 'easy', 'seamless', 'process', 'simple', 'was', '', '', '', '']","['Login easy', 'Login easy', 'Login easy']"
62,21,62_useful_examples_very_were,"['useful', 'examples', 'very', 'were', 'relevant', '', '', '', '', '']","['Examples useful', 'Examples useful', 'Examples useful']"
63,20,63_relevant_resources_were_,"['relevant', 'resources', 'were', '', '', '', '', '', '', '']","['Resources relevant', 'Resources relevant', 'Resources relevant']"
64,20,64_tested_knowledge_quizzes_skills,"['tested', 'knowledge', 'quizzes', 'skills', 'clarity', 'improved', 'concepts', 'learning', 'well', '']","['Quizzes tested knowledge', 'Quizzes tested knowledge', 'Quizzes tested knowledge']"
65,20,65_could_practice_more_better,"['could', 'practice', 'more', 'better', 'exercises', 'add', 'be', 'include', 'needed', 'than']","['Could add more practice', 'Could add more practice', 'Could add more practice']"
66,20,66_access_fast__,"['access', 'fast', '', '', '', '', '', '', '', '']","['Access fast', 'Access fast', 'Access fast']"
67,20,67_difficult_concepts_some_topics,"['difficult', 'concepts', 'some', 'topics', 'hard', 'present', 'tough', 'complex', 'were', 'confusing']","['Some concepts were difficult', 'Some concepts were difficult', 'Some concepts were difficult']"
68,19,68_learning_material_solid_strong,"['learning', 'material', 'solid', 'strong', 'great', 'was', 'materials', 'useful', 'detailed', 'good']","['Learning material was useful', 'Learning material good', 'Learning material was good']"
69,19,69_smooth_navigation_portal_was,"['smooth', 'navigation', 'portal', 'was', 'the', 'clear', '', '', '', '']","['Navigation was smooth', 'Navigation was smooth', 'Navigation was smooth']"
70,19,70_taught_instructor_helpful_communicated,"['taught', 'instructor', 'helpful', 'communicated', 'was', 'with', 'well', 'clarity', 'very', 'teacher']","['Instructor taught well', 'Instructor taught well', 'Instructor taught well']"
71,19,71_challenging_topics_some_but,"['challenging', 'topics', 'some', 'but', 'rewarding', 'of', 'theory', 'balance', 'interesting', 'useful']","['Some topics challenging', 'Some topics challenging', 'Some topics challenging']"
72,18,72_explained_instructor_well_quickly,"['explained', 'instructor', 'well', 'quickly', 'thoroughly', 'properly', '', '', '', '']","['Instructor explained well', 'Instructor explained well', 'Instructor explained well']"
73,17,73_work_practical_tasks_lacked,"['work', 'practical', 'tasks', 'lacked', 'need', 'more', 'needed', 'add', 'could', 'missing']","['Lacked practical work', 'Lacked practical work', 'Lacked practical work']"
74,17,74_easy_quizzes_interesting_too,"['easy', 'quizzes', 'interesting', 'too', 'simple', '', '', '', '', '']","['Quizzes easy', 'Quizzes easy', 'Quizzes easy']"
75,17,75_knowledge_applied_learned_step,"['knowledge', 'applied', 'learned', 'step', 'new', 'improved', 'by', 'subject', 'ideas', 'lessons']","['Improved knowledge', 'Applied knowledge well', 'Knowledge was applied']"
76,17,76_issues_faced_no_login,"['issues', 'faced', 'no', 'login', 'rare', 'problems', 'minor', 'sometimes', 'some', '']","['Login issues', 'Login issues', 'Faced login issues']"
77,17,77_extra_lacked_depth_examples,"['extra', 'lacked', 'depth', 'examples', 'practice', 'real', '', '', '', '']","['Lacked extra examples', 'Lacked extra examples', 'Lacked extra examples']"
78,17,78_to_use_online_navigate,"['to', 'use', 'online', 'navigate', 'easy', 'platform', 'efficient', 'is', 'support', 'was']","['Platform was easy to use', 'Platform was easy to use', 'Platform was easy to use']"
79,16,79_skills_improved_learning_supported,"['skills', 'improved', 'learning', 'supported', 'assignments', 'tested', 'enhanced', 'knowledge', '', '']","['Assignments improved skills', 'Assignments improved skills', 'Assignments improved skills']"
80,16,80_positive_course_overall_,"['positive', 'course', 'overall', '', '', '', '', '', '', '']","['Overall positive course', 'Overall positive course', 'Overall positive course']"
81,16,81_engaging_were_quizzes_interactive,"['engaging', 'were', 'quizzes', 'interactive', '', '', '', '', '', '']","['Quizzes were engaging', 'Quizzes were engaging', 'Quizzes were engaging']"
82,16,82_teacher_excellent_patient_overall,"['teacher', 'excellent', 'patient', 'overall', '', '', '', '', '', '']","['Overall excellent teacher', 'Overall excellent teacher', 'Overall excellent teacher']"
83,16,83_structured_well_guided_properly,"['structured', 'well', 'guided', 'properly', 'prepared', 'content', 'was', '', '', '']","['Well structured', 'Well structured', 'Well structured']"
84,16,84_understandable_lectures_were_sometimes,"['understandable', 'lectures', 'were', 'sometimes', 'accessible', 'rushed', 'fast', 'to', 'easy', 'access']","['Lectures were understandable', 'Lectures were understandable', 'Lectures were understandable']"
85,15,85_few_shared_examples_good,"['few', 'shared', 'examples', 'good', '', '', '', '', '', '']","['Shared few examples', 'Shared few examples', 'Shared few examples']"
86,15,86_material_good_useful_,"['material', 'good', 'useful', '', '', '', '', '', '', '']","['Material good', 'Material good', 'Material good']"
87,15,87_clarified_with_concepts_explain,"['clarified', 'with', 'concepts', 'explain', 'understand', 'explained', 'examples', 'detailed', 'to', 'clearly']","['Examples clarified topics', 'Examples clarified concepts', 'Examples clarified concepts']"
88,15,88_paced_video_lectures_enjoyed,"['paced', 'video', 'lectures', 'enjoyed', 'streamed', 'videos', 'quality', 'good', 'helpful', 'were']","['Paced lectures good', 'Paced lectures good', 'Paced lectures good']"
89,15,89_understandable_topics_clearly_explained,"['understandable', 'topics', 'clearly', 'explained', '', '', '', '', '', '']","['Topics understandable', 'Topics understandable', 'Topics understandable']"
90,15,90_not_material_helpful_poor,"['not', 'material', 'helpful', 'poor', 'was', '', '', '', '', '']","['Material not helpful', 'Material not helpful', 'Material not helpful']"
91,14,91_provided_helpful_resources_online,"['provided', 'helpful', 'resources', 'online', '', '', '', '', '', '']","['Helpful resources provided', 'Helpful resources provided', 'Helpful resources provided']"
92,14,92_queries_answered_all_solved,"['queries', 'answered', 'all', 'solved', 'well', '', '', '', '', '']","['Answered queries', 'Answered queries', 'Answered queries']"
93,14,93_teacher_very_communicator_effective,"['teacher', 'very', 'communicator', 'effective', 'good', 'overall', 'poor', '', '', '']","['Overall very good teacher', 'Overall a very good teacher', 'Overall a very good teacher']"
94,14,94_style_poor_interactive_good,"['style', 'poor', 'interactive', 'good', '', '', '', '', '', '']","['Interactive style poor', 'Interactive style poor', 'Interactive style poor']"
95,14,95_little_participation_encouraged_,"['little', 'participation', 'encouraged', '', '', '', '', '', '', '']","['Encouraged little participation', 'Encouraged little participation', 'Encouraged little participation']"
96,14,96_unstable_system_stable_,"['unstable', 'system', 'stable', '', '', '', '', '', '', '']","['System unstable', 'System unstable', 'System unstable']"
97,14,97_irrelevant_assignments_relevant_,"['irrelevant', 'assignments', 'relevant', '', '', '', '', '', '', '']","['Assignments irrelevant', 'Assignments irrelevant', 'Assignments irrelevant']"
98,14,98_included_applications_were_,"['included', 'applications', 'were', '', '', '', '', '', '', '']","['Applications included', 'Applications included', 'Applications included']"
99,14,99_poor_navigation_good_,"['poor', 'navigation', 'good', '', '', '', '', '', '', '']","['Navigation poor', 'Navigation poor', 'Navigation poor']"
100,14,100_effective_course_average_strong,"['effective', 'course', 'average', 'strong', 'solid', 'overall', 'good', '', '', '']","['Overall effective course', 'Overall effective course', 'Overall effective course']"
101,14,101_hard_challenging_quizzes_difficult,"['hard', 'challenging', 'quizzes', 'difficult', 'were', '', '', '', '', '']","['Quizzes hard', 'Quizzes hard', 'Quizzes hard']"
102,14,102_motivation_lacking_learners_motivated,"['motivation', 'lacking', 'learners', 'motivated', '', '', '', '', '', '']","['Motivation lacking', 'Motivation lacking', 'Motivation lacking']"
103,14,103_minimal_notes_shared_provided,"['minimal', 'notes', 'shared', 'provided', '', '', '', '', '', '']","['Minimal notes', 'Minimal notes', 'Minimal notes']"
104,13,104_missing_resources_content_,"['missing', 'resources', 'content', '', '', '', '', '', '', '']","['Resources missing', 'Resources missing', 'Resources missing']"
105,13,105_missing_applications__,"['missing', 'applications', '', '', '', '', '', '', '', '']","['Applications missing', 'Applications missing', 'Applications missing']"
106,13,106_not_unclear_instructor_clear,"['not', 'unclear', 'instructor', 'clear', '', '', '', '', '', '']","['Instructor not clear', 'Instructor not clear', 'Instructor not clear']"
107,13,107_loved_the_course_great,"['loved', 'the', 'course', 'great', 'overall', '', '', '', '', '']","['Loved the course', 'Loved the course', 'Loved the course']"
108,13,108_projects_real_lacked_world,"['projects', 'real', 'lacked', 'world', 'more', 'missing', '', '', '', '']","['Lacked real projects', 'Lacked real projects', 'Lacked real projects']"
109,13,109_lectures_video_were_clear,"['lectures', 'video', 'were', 'clear', 'smooth', '', '', '', '', '']","['Lectures were clear', 'Lectures were clear', 'Lectures were clear']"
110,13,110_weak_discipline_not_maintained,"['weak', 'discipline', 'not', 'maintained', '', '', '', '', '', '']","['Discipline weak', 'Discipline weak', 'Discipline weak']"
111,13,111_few_questions_answered_,"['few', 'questions', 'answered', '', '', '', '', '', '', '']","['Answered few questions', 'Answered few questions', 'Answered few questions']"
112,13,112_slow_access__,"['slow', 'access', '', '', '', '', '', '', '', '']","['Access slow', 'Access slow', 'Access slow']"
113,13,113_confusing_lectures__,"['confusing', 'lectures', '', '', '', '', '', '', '', '']","['Lectures confusing', 'Lectures confusing', 'Lectures confusing']"
114,13,114_confusing_unclear_assignments_,"['confusing', 'unclear', 'assignments', '', '', '', '', '', '', '']","['Assignments confusing', 'Assignments confusing', 'Assignments confusing']"
115,12,115_interaction_encouraged_discussion_communication,"['interaction', 'encouraged', 'discussion', 'communication', 'good', '', '', '', '', '']","['Encouraged interaction', 'Encouraged interaction', 'Encouraged interaction']"
116,12,116_explanation_poor__,"['explanation', 'poor', '', '', '', '', '', '', '', '']","['Poor explanation', 'Poor explanation', 'Poor explanation']"
117,12,117_great_content_okay_,"['great', 'content', 'okay', '', '', '', '', '', '', '']","['Great content', 'Great content', 'Great content']"
118,12,118_unclear_examples_confusing_were,"['unclear', 'examples', 'confusing', 'were', '', '', '', '', '', '']","['Examples unclear', 'Examples unclear', 'Examples unclear']"
119,12,119_find_reference_useful_resources,"['find', 'reference', 'useful', 'resources', 'materials', 'to', 'easy', 'good', '', '']","['Resources useful', 'Resources useful', 'Resources useful']"
120,12,120_material_useful_materials_accessible,"['material', 'useful', 'materials', 'accessible', 'valuable', 'was', '', '', '', '']","['Material useful', 'Material useful', 'Material useful']"
121,12,121_fine_login_worked_okay,"['fine', 'login', 'worked', 'okay', 'smoothly', '', '', '', '', '']","['Login fine', 'Login worked fine', 'Login worked fine']"
122,12,122_tough_topics_some_certain,"['tough', 'topics', 'some', 'certain', '', '', '', '', '', '']","['Some topics tough', 'Some topics tough', 'Some topics tough']"
123,12,123_irrelevant_content_relevant_,"['irrelevant', 'content', 'relevant', '', '', '', '', '', '', '']","['Content irrelevant', 'Content irrelevant', 'Content irrelevant']"
124,12,124_hard_too_quizzes_,"['hard', 'too', 'quizzes', '', '', '', '', '', '', '']","['Quizzes too hard', 'Quizzes too hard', 'Quizzes too hard']"
125,11,125_sessions_approach_interactive_be,"['sessions', 'approach', 'interactive', 'be', 'more', 'could', '', '', '', '']","['Interactive sessions', 'Interactive sessions', 'Interactive sessions']"
